State_x,County_x,Obesity_Rate,FIPS,State_y,County_y,fast_food_density
MN,Lac qui Parle,35.1,27073,MN,Lac qui Parle,0.459629238
MI,Leelanau,31.2,26089,MI,Leelanau,0.689877212
MI,Tuscola,39.4,26157,MI,Tuscola,0.4016141
MN,Martin,38.0,27091,MN,Martin,0.718538284
MD,Garrett,37.3,24023,MD,Garrett,0.935810328
MD,Baltimore,33.2,24005,MD,Baltimore,0.943079889
MI,Charlevoix,36.6,26029,MI,Charlevoix,0.881057262
MD,Frederick,31.2,24021,MD,Frederick,0.773115218
MN,Murray,40.5,27101,MN,Murray,0.367872477
MA,Suffolk,28.0,25025,MA,Suffolk,0.969333172
ME,Piscataquis,35.8,23021,ME,Piscataquis,0.29418686
MN,Stevens,37.9,27149,MN,Stevens,0.614439309
MN,Mahnomen,44.3,27087,MN,Mahnomen,0.548145413
MN,Wadena,42.9,27159,MN,Wadena,0.869124353
MD,Washington,42.3,24043,MD,Washington,0.813782692
MI,Missaukee,38.3,26113,MI,Missaukee,0.263991565
MI,Sanilac,38.5,26151,MI,Sanilac,0.392666936
MN,Isanti,38.6,27059,MN,Isanti,0.362065226
ME,Knox,27.9,23013,ME,Knox,0.826011837
ME,Waldo,33.5,23027,ME,Waldo,0.551060796
MN,Dakota,32.9,27037,MN,Dakota,0.660017073
MI,Genesee,39.1,26049,MI,Genesee,0.684298694
MN,Pipestone,39.5,27117,MN,Pipestone,0.657822609
MI,Berrien,40.0,26021,MI,Berrien,0.738441408
MD,Anne Arundel,34.7,24003,MD,Anne Arundel,0.943757236
MN,Nicollet,36.5,27103,MN,Nicollet,0.754016578
MD,Somerset,43.6,24039,MD,Somerset,0.43216911
MI,Mason,39.4,26105,MI,Mason,0.651488125
MA,Berkshire,28.9,25003,MA,Berkshire,0.842892826
MA,Dukes,28.6,25007,MA,Dukes,0.973598301
MI,Wexford,38.2,26165,MI,Wexford,0.770530164
ME,Oxford,36.7,23017,ME,Oxford,0.464460194
ME,York,29.5,23031,ME,York,0.827489913
MN,Otter Tail,38.2,27111,MN,Otter Tail,0.612859845
MI,Lenawee,42.4,26091,MI,Lenawee,0.623670876
MN,Red Lake,36.8,27125,MN,Red Lake,0.741473079
MN,Wright,37.2,27171,MN,Wright,0.527633011
MI,Clare,42.3,26035,MI,Clare,0.649962604
MI,Oscoda,36.9,26135,MI,Oscoda,0.717017233
MN,Todd,40.5,27153,MN,Todd,0.283034116
MN,Faribault,37.2,27043,MN,Faribault,0.441144019
MI,Cheboygan,36.8,26031,MI,Cheboygan,0.670214891
MN,Carlton,41.2,27017,MN,Carlton,0.251614541
MN,Ramsey,32.6,27123,MN,Ramsey,0.74100709
MA,Hampshire,27.7,25015,MA,Hampshire,0.625770569
MI,Calhoun,38.9,26025,MI,Calhoun,0.763587356
MN,Mower,40.7,27099,MN,Mower,0.49813199
MI,Crawford,38.2,26039,MI,Crawford,0.786782086
MI,Bay,37.2,26017,MI,Bay,0.712981164
MI,Ingham,34.0,26065,MI,Ingham,0.901555002
MI,Manistee,38.0,26101,MI,Manistee,0.565930963
MN,Steele,36.9,27147,MN,Steele,0.710460186
MD,Queen Anne's,32.7,24035,MD,Queen Anne's,0.723122299
MI,Lapeer,35.5,26087,MI,Lapeer,0.570548296
MD,Baltimore,38.5,24510,MD,Baltimore,1.117497683
MN,Waseca,41.2,27161,MN,Waseca,0.646900296
MA,Barnstable,26.5,25001,MA,Barnstable,0.989848197
MN,Washington,30.9,27163,MN,Washington,0.59892422
MN,Nobles,40.7,27105,MN,Nobles,0.467289716
MN,Mille Lacs,42.6,27095,MN,Mille Lacs,0.573701501
MI,Livingston,35.4,26093,MI,Livingston,0.597915113
MN,Sibley,40.7,27143,MN,Sibley,0.203873605
MI,Cass,35.1,26027,MI,Cass,0.329559565
MN,Olmsted,35.4,27109,MN,Olmsted,0.696807265
MN,Freeborn,40.6,27047,MN,Freeborn,0.757475972
MI,Saginaw,43.0,26145,MI,Saginaw,0.790022552
ME,Somerset,37.3,23025,ME,Somerset,0.513478816
MO,Miller,39.7,29131,MO,Miller,0.465278596
MS,Lafayette,40.0,28071,MS,Lafayette,1.029260397
